productId,ProductName,Image,Category_Name,Price_Category,isDual,Units,PriceperUnit,MinUnitsperPlate,Units2,PriceperUnits2,MinUnits2perPlate
Breakfast_1,Idly,,Breakfast,pcs,FALSE,pcs,10,1,,,
Breakfast_2,Vada,,Breakfast,pcs,FALSE,pcs,10,1,,,
Breakfast_3,Sambar,,Breakfast,Liter,FALSE,ml,0.04,100,,,
Breakfast_4,Chutney,,Breakfast,Liter,FALSE,ml,0.04,100,,,
Breakfast_5,Kesar Bath,,Breakfast,wt,FALSE,grams,0.15,100,,,
Breakfast_6,Upma,,Breakfast,wt,FALSE,grams,0.15,100,,,
Breakfast_7,Pongal (Plain/Semya/Rava),,Breakfast,wt,FALSE,grams,0.15,100,,,
Breakfast_8,Tomato Bath,,Breakfast,wt,FALSE,grams,0.15,100,,,
Breakfast_9,Puri,,Breakfast,pcs,FALSE,pcs,10,1,,,
Breakfast_10,Dosa Masala,,Breakfast,pcs,FALSE,pcs,10,1,,,
Breakfast_11,Dosa Plain,,Breakfast,pcs,FALSE,pcs,10,1,,,
Breakfast_12,Dosa Onion,,Breakfast,pcs,FALSE,pcs,10,1,,,
Breakfast_13,Mysore Bajji,,Breakfast,pcs,FALSE,pcs,10,1,,,
Breakfast_14,Rava Kesar,,Breakfast,pcs,FALSE,pcs,10,1,,,
Snacks_1,Onion Pakoda,,Snacks,wt,FALSE,grams,,,,,
Snacks_2,Cabbage Pakoda,,Snacks,wt,FALSE,grams,,,,,
Snacks_3,Aloo Bonda,,Snacks,pcs,FALSE,pcs,,,,,
Snacks_4,Samosa,,Snacks,pcs,FALSE,pcs,,,,,
Chats_1,Pani Puri,,Chats,,FALSE,,,,,,
Chats_2,Ragda Puri,,Chats,,FALSE,,,,,,
Chats_3,Sev Puri,,Chats,,FALSE,,,,,,
Chats_4,Samosa Chaat,,Chats,,FALSE,,,,,,
Chats_5,Masala Puri,,Chats,,FALSE,,,,,,
Starters_1,French Fries,,Starters,,FALSE,,,,,,
Starters_2,Challa Mirchi,,Starters,,FALSE,,,,,,
Starters_3,Veg Noodles,,Starters,,FALSE,,,,,,
Rotis_1,Palak Ruma,,Rotis,,FALSE,,,,,,
Rotis_2,Pudina Naan,,Rotis,,FALSE,,,,,,
Rotis_3,Alu Parota,,Rotis,,FALSE,,,,,,
North Indian Curries_1,Alu 65,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_2,Gobi 65,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_3,Veg 65,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_4,Palak Paneer,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_5,Mutter Paneer,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_6,Veg Koltha,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_7,Bagara Baingan,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_8,Vegma (Mixed Veg/Alu Shimla),,North Indian Curries,,FALSE,,,,,,
North Indian Curries_9,Alu-Butter Masala,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_10,Alu Gobi Masala,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_11,Alu Chana,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_12,Chote Masala,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_13,Chote Paneer Masala,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_14,Capsicum Masala,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_15,Paneer Butter Masala,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_16,Shar Paneer Masala,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_17,Capsicum Paneer Masala,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_18,Alu Dum,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_19,Alu Gobi Mutter,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_20,Alu Gobi Siru,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_21,Alu Muter,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_22,Chole Palak,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_23,Tomato Bagara,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_24,Gobi Masala with pea's,,North Indian Curries,,FALSE,,,,,,
North Indian Curries_25,Mirchi ka Salan,,North Indian Curries,,FALSE,,,,,,
Rice_1,Plain Rice,,Rice,wt,FALSE,grams,0.2,100,,,
Rice_2,Pulihora (Tamarind/Mango/Avaperi),,Rice,wt,FALSE,grams,0.2,100,,,
Rice_3,Lemon Rice,,Rice,wt,FALSE,grams,0.2,100,,,
Rice_4,Tomato Rice,,Rice,wt,FALSE,grams,0.2,100,,,
Rice_5,Kothimeera Rice,,Rice,,FALSE,,,,,,
Rice_6,Karivepaku Rice,,Rice,,FALSE,,,,,,
Rice_7,Coconut Rice,,Rice,,FALSE,,,,,,
Rice_8,Zeera Rice,,Rice,,FALSE,,,,,,
Rice_9,Pudina Rice,,Rice,,FALSE,,,,,,
Rice_10,Gongura Rice,,Rice,,FALSE,,,,,,
Rice_11,Vaangi Bath,,Rice,,FALSE,,,,,,
Rice_12,Dadojanam,,Rice,,FALSE,,,,,,
Rice_13,Curd Rice,,Rice,,FALSE,,,,,,
Rice_14,Bessi Belly Bath,,Rice,,FALSE,,,,,,
Rice_15,Alu Kichchidi,,Rice,,FALSE,,,,,,
Rice_16,Alu Bath/Pulao (Veg/Peas/Kaju/Kashmir),,Rice,,FALSE,,,,,,
Rice_17,Veg Fried Rice,,Rice,,FALSE,,,,,,
Rice_18,Pulao (Veg/Peas/Kaju/Kashmir),,Rice,,FALSE,,,,,,
Rice_19,Biryani (Veg/Navratana/Dum/Alu),,Rice,,FALSE,,,,,,
Curd_1,Curd (Rice/Dadojanam),,Curd,,FALSE,,,,,,
South Indian Curries_1,Alu Tomato Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_2,Alu Upma Curry,,South Indian Curries,,FALSE,,,,,,
South Indian Curries_3,Vankaya Alu Tomato Curry,,South Indian Curries,,FALSE,,,,,,
